gold_commodity,unit,total_tier,bycountry_tier,gold_years,benchmark_years,total_ok_years,bycountry_ok_years,gold_peak_total,pipeline_match
Metal Unenumerated unwrought,Tons,WEAK,WEAK,5,1876;1881;1886;1891;1896,1876;1886,1876;1886,4466,"METAL|Unenumerated, Unwrought"
Tobacco Manufactured Snuff,Lbs. (Pounds),WEAK,WEAK,3,1876;1886;1891,1876,1876,4309,SPIRITS|Manufactured : Snuff
Wine Red in Bottles Sparkling Other Sorts,Gallons,WEAK,WEAK,2,1891;1896,,1891,4278,TOBACCO|Other Sorts
Petroleum Unrefined,Tuns (whale oil),WEAK,WEAK,2,1876;1881,1881,1881,3436,SUGAR|Unrefined
Spermaceiti or Head Matter (Whale Oils),Tuns (whale oil),WEAK,WEAK,2,1876;1886,1876,1876,3218,OIL|Spermaceti or Head Matter
Metal Old other than Iron or Copper for re-manufacture,Tons,WEAK,WEAK,3,1876;1881;1891,1876,1876,2517,"METAL|Old (other than Iron or Copper), fit only for     re-manufacture"
Swords Cutlasses Matchets Bayonets,CWTS (Hundredweights),WEAK,WEAK,2,1886;1896,1886,1886,2364,"ARMS AND AMMUNITION|Swords, Cutlasses, Matchets,     Bayonets"
Whale Fins,CWTS (Hundredweights),WEAK,WEAK,2,1876;1881,,1881,2103,VARNISH: NOT CONTAINING ALCOHOL|WHALEFINS
Wine White in Bottles Sparkling Burgundy,Gallons,WEAK,WEAK,2,1891;1896,1896,1896,1663,"TEA|White, in Bottles: Sparkling : Burgundy"
Collodion,Gallons,WEAK,WEAK,2,1891;1896,1891,1891,1319,COCOA|COLLODION
Fruit Preserved without sugar not dried,Lbs. (Pounds),SPARSE,SPARSE,1,1896,1896,1896,62986516,"FRUIT|Preserved without Sugar, other than Dried"
Prints Engravings and Photographs,Number,SPARSE,SPARSE,1,1886,1886,1886,36317438,"PRINTS, ENGRAVINGS AND PHOTO-GRAPHS"
Skins Furs Pelts Rabbit,Number,SPARSE,SPARSE,1,1896,1896,1896,30157616,"COTTON|Furs, Rabbit Skins"
Goats Wool or Hair Mohair,Lbs. (Pounds),SPARSE,SPARSE,1,1896,1896,1896,14986979,"WOOL|Goats' wool, Mohair"
Sugar Refined,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,14776929,"SUGAR|Refined, Total"
Woollen Yarn for Weaving Mixed or not with Silk,Lbs. (Pounds),SPARSE,SPARSE,1,1891,1891,1891,14712167,WOOLLEN YARN|For Weaving
Wine Red Total of,Gallons,SPARSE,SPARSE,1,1896,1896,1896,11638415,TEA|Red: Total of
Skins Furs Pelts Unenumerated Other Sorts,Number,SPARSE,SPARSE,1,1896,1896,1896,9633586,"SKINS, FURS, AND PELTS|Furs, Unenumerated"
Skins Furs Pelts Goat Tanned Tawed or Dressed,Number,SPARSE,SPARSE,1,1881,1881,,8983237,"SKINS AND FURS|Sheep and Lambs', Undressed, without the Wool"
Sheep and Lamb Skins,Number,SPARSE,SPARSE,1,1876,1876,1876,7598967,"SKINS, FURS, AND PELTS|Sheep and Lamb, Undressed"
Oranges,Bushels,SPARSE,SPARSE,1,1896,1896,1896,7230471,FRUIT|Oranges
Skins Furs and Pelts Goat and Kid Tanned Tawed or Dressed,Number,SPARSE,SPARSE,1,1876,1876,1876,6732726,"SKINS, FURS, AND PELTS|Goat and Kid, Tanned, Tawed, or Dressed"
Rice not in the Husk,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,6469181,RICE|Not in the Husk
Sugar Refined Total,CWTS (Hundredweights),SPARSE,SPARSE,1,1886,1886,1886,6372050,SUGAR|Refined. Total of
Skins Furs and Pelts Sheep and Lamb Tanned Tawed or Dressed,Number,SPARSE,SPARSE,1,1876,1876,1876,5566381,"SKINS, FURS, AND PELTS|Sheep and Lamb, Tanned, Tawed, or Dressed"
Precious Stones Diamonds,Carats,SPARSE,SPARSE,1,1896,1896,1896,3527810,DIAMONDS
Brandy,Proof Gallons,SPARSE,SPARSE,1,1896,1896,1896,2749624,FRUIT|Brandy
Paper and Pasteboard Unprinted,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,2571377,PAPER AND PASTEBOARD|Unprinted
Fruit Raw or otherwise not described,Bushels,SPARSE,SPARSE,1,1876,1876,1876,2372779,"FLOWERS, ARTIFICIAL|Raw, not otherwise described"
Wool Goats Wool or Hair Other Sorts,Lbs. (Pounds),SPARSE,SPARSE,1,1896,1896,1896,2156233,WOOL|Other Sorts
Lemons,Bushels,SPARSE,SPARSE,1,1896,1896,1896,1660416,FRUIT|Lemons
Wine White in Bottles Sparkling Champagne,Gallons,SPARSE,SPARSE,1,1896,1896,1896,1612650,"TEA|White, in Bottles: Sparkling : Champagne"
Skins Furs Pelts Unenumerated not being Furs Dressed and Undressed,Number,SPARSE,SPARSE,1,1876,1876,1876,1589640,"SKINS, FURS, AND PEELTS|Unenumerated, not being Furs, Dressed and Undressed"
Wine in Bottles Sparkling Champagne,Gallons,SPARSE,SPARSE,1,1891,1891,1891,1579199,TOBACCO|Champagne
Iron and Steel Wrought or Manufactured,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,1390225,METAL|Wrought or Manufactured
Skins Furs and Pelts Goat and Kid Undressed,Number,SPARSE,SPARSE,1,1876,,1876,1318386,BEADS|Of Glass
Gloves,Dozen Pairs,SPARSE,SPARSE,1,1881,1881,1881,1254842,LEATHER MANUFACTURES|Gloves
Paper Strawboard or Millboard,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,,1896,1208397,COLLODIUM
Perfumery and Articles used in the Manufacture thereof except Perfumed Spirits,Lbs. (Pounds),SPARSE,SPARSE,1,1896,1896,1896,1110561,"PERFUMERY, AND ARTICLES USED IN THE MANUFACTURE THEREOF (EXCEPT PERFUMÉD SPIRITS)"
Butterine,CWTS (Hundredweights),SPARSE,SPARSE,1,1886,,1886,887974,FRUIT|Currants
Grapes,Bushels,SPARSE,SPARSE,1,1896,1896,1896,883244,"FRUIT|Grapes, Raw"
Fish Cured or Salted Unenumerated,CWTS (Hundredweights),SPARSE,SPARSE,1,1891,1891,1891,873340,"FISH|Cured or Salted, unenumerated"
Glass Bottles,Gross,SPARSE,SPARSE,1,1896,1896,1896,853693,GLASS|Bottles
Perfumery Unenumerated,Lbs. (Pounds),SPARSE,SPARSE,1,1876,1876,1876,759529,"PARAFFINE|PERFUMERY, Unenumerated"
Value of Articles Imported by Parcel Post,None,SPARSE,SPARSE,1,1896,1896,1896,727033,ZINC|ARTICLES Imported by PARCEL POST
Stones Marble,Tons,SPARSE,SPARSE,1,1896,1896,1896,673206,"STONES, MARBLE, ROUGH, HEWN OR MANUFACTURED (OTHER THAN WORKS OF ART)"
Tobacco Unenumerated,Lbs. (Pounds),SPARSE,SPARSE,1,1896,1896,1896,657822,TOBACCO|Other Sorts
Sago Sago Meal and Flour,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,626588,"SAGO, AND FLOUR OR MEAL THEREOF"
Plums Raw,Bushels,SPARSE,SPARSE,1,1896,1896,1896,560245,"FLAX|Plums, Raw"
Beef Unenumerated Preserved otherwise than by Salting,CWTS (Hundredweights),SPARSE,SPARSE,1,1891,1891,1891,554235,"MEAT. UNENUMERATED|Preserved, otherwise than by Salting : Beef"
Leather Varnished,Lbs. (Pounds),SPARSE,SPARSE,1,1891,1891,1891,540939,"LEATHER|Varnished, Japanned, or En-   amelled"
Shell fish all sorts,CWTS (Hundredweights),SPARSE,SPARSE,1,1891,1891,1891,488731,"FISH (INCLUDING TURTLE)|Shell fish, all sorts"
Pears Raw,Bushels,SPARSE,SPARSE,1,1896,1896,1896,483823,"FRUIT|Pears, Raw"
Beef Preserved not by Salting,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,,1896,401961,CAOUTCHOUC
Cider and Perry,Gallons,SPARSE,SPARSE,1,1896,1896,1896,321016,CIDER AND PERRY
Tin in Blocks Ingots Bars or Slabs and Regulus,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,304551,"TIN|In Blocks, Ingots, Bars, or Slabs, and Regulus"
Meat Preserved not Salted,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,283066,"MEAT, UNENUMERATED|Preserved, otherwise than by Salting"
Cocoa Butter,Lbs. (Pounds),SPARSE,SPARSE,1,1896,,1896,242940,PORK|Salted
Other Fresh Fish,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,238715,FISH (INCLUDING TURTLE)|Other sorts of Fresh Fish
Oil Turpentine Oil or Spirit of,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,236026,OIL|Turpentine (Oil or Spirit of)
Methylic Alcohol,Gallons,SPARSE,SPARSE,1,1896,1896,1896,228939,"METHYLIC ALCOHOL, NOT POTABLE"
Linen Waste,Lbs. (Pounds),SPARSE,SPARSE,1,1876,1876,1876,227084,LINEN WASTE
Oil Seed Cake Linseed,Tons,SPARSE,SPARSE,1,1896,1896,1896,220602,OIL SEED CAKE|Linseed-Cake
Cherries Raw,Bushels,SPARSE,SPARSE,1,1896,1896,1896,219367,"FRUIT|Cherries, Raw"
Oysters Fresh,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,216052,"FISH (INCLUDING TURTLE)|Fresh (not of British taking) : Shell fish, Oysters"
Paper Making Materials Esparto and other Vegetable Fibres,Tons,SPARSE,SPARSE,1,1896,1896,1896,187278,"PAPER-MAKING MATERIALS|Esparto, and other Vegetable   Fibres"
Confectionery in the Manufacture of which Spirit has been used,Lbs. (Pounds),SPARSE,SPARSE,1,1896,1896,1896,185478,"CONFECTIONERY, IN THE MANUFACTURE OF WHICH SPIRIT HAS BEEN USED"
Paper Wood Pulp Board,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,175352,PAPER|Wood Pulp Boards
Beef Fresh or Slightly Salted,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,172268,BEEF|Fresh or Slightly Salted
Skins Furs Pelts Unenumerated Other Sorts Tanned Tawed or Dressed,Number,SPARSE,SPARSE,1,1881,1881,1881,172193,"SKINS, FURS, AND PELTS|Unenumerated: Other Sorts, Tanned, Tawed,     or Dressed"
Wine in Bottles Sparkling Saumur,Gallons,SPARSE,SPARSE,1,1891,1891,1891,171355,TOBACCO|Saumur
Silk Thrown,Lbs. (Pounds),SPARSE,SPARSE,1,1876,1876,1876,164040,SILK|Thrown
Figs,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,163163,FRUIT|Figs
Naphtha,Gallons,SPARSE,SPARSE,1,1891,1891,1891,157419,"NAPHTHA, WOOD, NOT POTABLE"
Shell Fish Other sorts,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,156638,"FISH (INCLUDING TURTLE)|Fresh (not of British taking) : Shell fish, other sorts"
Fruits and Vegetables Preserved in Sugar,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,148923,FRUITS AND VEGETABLES: PRESERVED IN SUGAR
Wine White in Bottles Sparkling Samur,Gallons,SPARSE,SPARSE,1,1896,1896,1896,137855,"TEA|White, in Bottles: Sparkling : Saumur"
Mutton Preserved not by Salting,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,122551,MEAT|Mutton
Oleo Margarine or Oleo Oil,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,120387,OLEO-MARGARINE
Hay,Tons,SPARSE,SPARSE,1,1896,1896,1896,107987,HAY
Nitrate of Soda,Tons,SPARSE,SPARSE,1,1896,1896,1896,106445,MANURES|Nitrate of Soda (Cubic Nitre)
Cocoa Paste or Chocolate,Lbs. (Pounds),SPARSE,SPARSE,1,1876,1876,1876,100902,COCOA|Paste or Chocolate
Naphtha Wood not potable,Gallons,SPARSE,SPARSE,1,1886,1886,1886,90250,"NAPHTHA WOOD, NOT POTABLE"
Oil Seed Cake Cotton Seed,Tons,SPARSE,SPARSE,1,1896,1896,1896,89727,OIL SEED CAKE|Cotton Cake
Spirits Unenumerated including Shrub,Gallons,SPARSE,SPARSE,1,1876,1876,1876,88928,"SPIRITS|Unenumerated, including Shrub"
Hemp,Tons,SPARSE,SPARSE,1,1896,,1896,86518,"COPPER, ORE OF"
Boots and Shoes,Dozen Pairs,SPARSE,SPARSE,1,1881,1881,1881,86451,JUTE|Boots and Shoes
Paper Printed or Coated,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,85766,PAPER|Printed or Coated
Spirits Unenumerated,Proof Gallons,SPARSE,SPARSE,1,1896,,1896,83920,GUM|Arabic
Straw,Tons,SPARSE,SPARSE,1,1896,1896,1896,73793,SUGAR|STRAW
Mutton Unenumerated Preserved otherwise than by Salting,CWTS (Hundredweights),SPARSE,SPARSE,1,1891,1891,1891,65073,"MEAT, UNENUMERATED|Mutton"
Zinc Crude,Tons,SPARSE,SPARSE,1,1891,1891,1891,58513,"ZINC|Crude, in Cakes"
Iron Pig,Tons,SPARSE,SPARSE,1,1881,1881,1881,55778,IRON|Pig
Glass Plate Fluted Rolled or Rough,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,55072,"GLASS|Plate, Fluted, Rolled, or Rough"
Cocoa Cocoa or Chocolate in the manufacture of which Spirit has been used,Lbs. (Pounds),SPARSE,SPARSE,1,1896,1896,1896,51603,"COCOA OR CHOCOLATE, IN THE MANUFACTURE OF WHICH SPIRIT HAS BEEN USED"
Wine in Bottles Sparkling Moselle,Gallons,SPARSE,SPARSE,1,1891,1891,1891,47922,"TOBACCO|White, in Bottles, Sparkling : Moselle"
Iron Manufacturers of Tyres and Axles,Tons,SPARSE,SPARSE,1,1896,1896,1896,45605,IRON|Tyres and Axles
Spirits Sweetened or Mixed Perfumed Spirits including Water Cologne,Gallons,SPARSE,SPARSE,1,1876,1876,1876,42357,FRUIT|Perfumed Spirits (including Water Cologne)
Wine White in Bottles Sparkling Moselle,Gallons,SPARSE,SPARSE,1,1896,1896,1896,40233,"TOBACCO|White, in Bottles: Sparkling : Moselle"
Mica Talc etc,CWTS (Hundredweights),SPARSE,SPARSE,1,1896,1896,1896,34509,MICA AND TALC
Madder Root,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,33824,MADDER|ROOT
Oil Seed,Tons,SPARSE,SPARSE,1,1896,1896,1896,33616,OIL|Seed
Swine and Hogs,Number,SPARSE,SPARSE,1,1881,1881,1881,24283,COWS|Swine
Paper Making Materials Other Paper Making Materials,Tons,SPARSE,SPARSE,1,1896,1896,1896,24106,PAPER|Other Materials
Confectionery containing not more than 50% Chocolate in the manufacture of which Spirit has been use,Lbs. (Pounds),SPARSE,SPARSE,1,1896,1896,1896,22796,"CONFECTIONERY, IN THE MANUFACTURE OF WHICH SPIRIT HAS BEEN USED|CONFECTIONERY, containing not more than 50 % Chocolate, in the Manufacture of which Spirit has been used"
Fresh Milk,Gallons,SPARSE,SPARSE,1,1896,1896,1896,22776,"MILK AND CREAM, FRESH"
Seed Oil of All Kinds,Tuns (whale oil),SPARSE,SPARSE,1,1876,1876,1876,22759,"OIL|Seed Oil, of all Kinds"
Straw For Agricultural purposes,Tons,SPARSE,SPARSE,1,1891,1891,1891,19556,STRAW|For Agricultural purposes
Rye meal,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,,1876,17115,CORN AND GRAIN|Ryemeal
Pulp of Rags and Wood,Tons,SPARSE,SPARSE,1,1876,1876,1876,16627,RAGS AND OTHER MATERIALS FOR MAKING PAPER|Pulp of Rags and Wood
Madder Garancine,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,15398,MADDER|GARANCINE
Beads Unenumerated,Lbs. (Pounds),SPARSE,SPARSE,1,1876,1876,1876,14646,BEADS|Unenumerated
Liqueurs Cordials &c not tested or ascertaining the strength,Gallons,SPARSE,SPARSE,1,1896,1896,1896,13832,"FRUIT|Liqueurs, Cordials, &c., not tested, for ascertaining the strength"
Teeth Elephants Sea Cow and Sea Horses,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,12538,"TEETH, ELEPHANTS', SEA COW, AND SEA HORSE"
Confectionery containing not more than 50% chocolate,Lbs. (Pounds),SPARSE,SPARSE,1,1896,1896,1896,12095,"CONFECTIONERY, IN THE MANUFACTURE OF WHICH SPIRIT HAS BEEN USED|CONFECTIONERY, containing not more than 50 % Chocolate"
Madder and Madder Root,CWTS (Hundredweights),SPARSE,SPARSE,1,1891,1891,1891,11477,"DYE STUFFS, AND SUBSTANCES USED IN TANNING|Madder, Madder Root, Guaiacine and Munjeet"
Bark Of other sorts,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,11338,BARK|Of other Sorts
Animals Living Horses Mares Geldings Colts and Foals,Number,SPARSE,SPARSE,1,1886,1886,1886,11026,"ANIMALS LIVING|Horses, Mares, Geldings,     Colts and Foals"
Steel Unwrought,Tons,SPARSE,SPARSE,1,1876,1876,1876,9230,"IRON|Steel, Unwrought"
Turpentine,CWTS (Hundredweights),SPARSE,SPARSE,1,1876,1876,1876,9176,TURPENTINE (ROUGH)
Metal Unenumerated Wrought or Manufactured,Tons,SPARSE,SPARSE,1,1896,,1896,3323,GOLD
Beer and Ale Spruce,Barrels,SPARSE,SPARSE,1,1876,1876,1876,2294,BEER AND ALE|Spruce
Metal Manufactured,Tons,SPARSE,SPARSE,1,1891,1891,,2178,"COPPER|Old, fit only to be re-manufactured"
Train Blubber and Spermaceti (Whale Oils),Tuns (whale oil),SPARSE,SPARSE,1,1881,1881,1881,2127,OIL|Spermaceti or Head Matter
Ether Acetic,Lbs. (Pounds),SPARSE,SPARSE,1,1891,1891,1891,1351,ETHER|ACETIC
Stallions,Number,SPARSE,SPARSE,1,1891,1891,1891,1168,"ANIMALS, LIVING|Stallions"
Slates,Number,UNVERIFIED,UNVERIFIED,1,1896,,,37752567,
Skins Furs Pelts Sheep Tanned Tawed or Dressed,Number,UNVERIFIED,UNVERIFIED,1,1881,,,6785751,
Wine White in Bottles Sparkling Other Sorts,Gallons,UNVERIFIED,UNVERIFIED,2,1891;1896,,,7162,
Oil Seed Cake of other sorts,Tons,UNVERIFIED,UNVERIFIED,1,1896,,,5744,
Tin Ore,Tons,UNVERIFIED,UNVERIFIED,2,1891;1896,,,4872,
"Gold Ore of, or Ore of which the greater part in Value is Gold",Tons,UNVERIFIED,UNVERIFIED,1,1896,,,2227,
