commodity,bucket,gbp,has_t1,n_cells,n_countries,dupe_pct,dupe_partner,dupe_pct_ub,host_share,dupe_partner_ub,place_article,name_article,fold_candidate
Lead — Ore Of,KEEP,5535068,1,301,41,0,"Metal — Unenumerated, Unwrought",5,2,Lead — From Australasia,,,
Zinc — Articles Imported By Parcel Post,KEEP,5509711,0,217,41,1,Articles Imported By Parcelpost,67,57,Articles Imported By Parcelpost,,,
Nuts And Kernels — Of Other Sorts,KEEP,5475154,1,169,42,0,,9,7,Oil — Fish : Train Or Blubber,,,
Unrefined — 2Nd Class,KEEP,5434597,0,23,25,4,Spirits — Geneva,4,4,Spirits — Geneva,,,
Plums — Raw,KEEP,5386396,1,46,8,0,,0,0,,,,
Ice,KEEP,5358655,1,35,7,3,Iron,14,11,"Horns, Tips And Pieces Of Horns And Hoofs",,,
Cochineal (Including Granilla And Dust),KEEP,5321057,1,100,23,0,,1,1,"Stationery, Other Than Paper, In- Cluding Ink",,,
Sugar — Molasses,KEEP,5182584,1,197,33,3,"Sugar — Unrefined, Total",4,3,"Sugar — Unrefined, Total",,,
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",KEEP,5165384,1,50,26,0,,60,46,Coffee — Raw,,,
Woollen Yarn — For Fancy Purposes,KEEP,5155444,1,112,12,0,,2,1,"Plate, Fluted, Rolled Or Rough",,,
"Dye Stuffs, And Substances Used In Tanning — Extracts",KEEP,5143833,0,131,21,0,,0,0,,,,
"Wool — Goats' Wool, Mohair",KEEP,5112181,1,43,12,0,,19,16,Wool — Mohair,,,
"Preserved Without Sugar, Other Than Dried",KEEP,5047187,1,171,32,18,Preserved Without Sugar,69,41,"Fish (Including Turtle) — Unenumerated, Dried",,,
Hair — Unenumerated,KEEP,4962644,0,197,21,5,Hats Or Bonnets — Unenumerated,9,4,Hats Or Bonnets — Unenumerated,,,
Gum — Arabic,KEEP,4926169,1,275,44,3,Glass — Arabic,5,2,"Glass, Of All Kinds",,,
Rags And Other Materials For Making Paper — Pulp Of Rags And Wood,KEEP,4817499,0,124,19,0,,2,1,"Glass — Plate, Whether Silvered Or Not",,,
Matches,KEEP,4766159,1,81,14,15,"Matches, Safety And Other Sorts",17,15,"Matches, Safety And Other Sorts",,,
Leather Manufactures,KEEP,4738926,1,65,47,0,,0,0,,,,
Flax — Tow Or Codilla Of,KEEP,4543305,0,54,9,0,,2,2,Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,,,
Oil — Animal,KEEP,4539049,1,144,20,0,,1,1,Ivory,,,
Fruit — Figs,KEEP,4511950,1,145,21,1,Fruit — Currants,4,1,Fruit — Currants,,,
"Cotton Manufactures — Piece Goods, Printed And Dyed",KEEP,4423963,0,19,19,0,,0,0,,,,
Oil-Seed Cake — Cotton Cake,KEEP,4348089,1,56,13,11,"Oil — Chemical, Essential, Or Perfumed",12,7,"Oil — Chemical, Essential, Or Perfumed",,,
Shumach,KEEP,4321004,1,76,13,17,Cotton — Shumach,18,7,Cotton — Shumach,,,
Parcel Post (Goods Free Of Duty),KEEP,4298039,1,188,40,0,,83,40,"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",,,
"Meat. Unenumerated — Preserved, Otherwise Than By Salting : Beef",KEEP,4229664,0,38,18,3,Meat — Beef,26,18,"Matches — .. Preserved, Otherwise Than Bysalting : Beef",,,
"Glass — Window Glass (Not Being Plate Glass), And German Sheet Glass, Including Shades And Cylinders",KEEP,4224344,0,37,5,0,,24,24,"Glass — Window Glass (Not Being Plate Glass), Andgerman Sheet Glass, Including Shades Andcylinders",,,
Woollen And Worsted Manufactures — Shawls,KEEP,4214488,0,110,30,0,,0,0,,,,
Sponge,KEEP,4213825,1,209,32,5,Slates,7,4,Slates,,,
Jute — Machine Or Imitation Lace,KEEP,4019335,0,22,3,0,,0,0,,,,
Wax,KEEP,4009758,1,480,70,2,"Glass, Of All Kinds",7,3,Watches,,,
"Pictures, Drawings, And Photographs",KEEP,4004824,0,62,7,0,,0,0,,,,
Candles — Stearine,KEEP,3988355,1,44,8,2,"Earthenware, Not Being China Or Porcelain Ware",5,2,"Rags, Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",,,
"Dye Stuffs, And Substances Used In Tanning — Myrobalans",KEEP,3929118,0,58,18,9,"Madder, Madder Root, Garancine, And Munjeet",9,9,"Madder, Madder Root, Garancine, And Munjeet",,,
Dye Woods — Unenumerated,KEEP,3908895,1,320,62,7,Dye Woods: Logwood — Unenumerated,14,5,Dye Woods: Logwood — Unenumerated,,,
"Paper — Writing Or Printing, And Envelopes",KEEP,3865381,0,76,35,0,,0,0,,,,
Shells Of All Kinds — Dutch Possession In Indian Seas,KEEP,3839526,0,173,37,10,Shells Of All Kinds,29,17,"Shells Of All Kinds — Knubs Or Hueks Of Silk, And Waste",,,
Fish — Rough Or Undressed,KEEP,3772279,0,8,8,0,,0,0,,,,
Woollen And Worsted Manufactures — Worsted Yarn (Combed),KEEP,3658840,0,7,7,0,,0,0,,,,
Straw,KEEP,3616444,1,202,23,3,Slates,5,3,Slates,,,
"Wine — White, In Casks",KEEP,3601924,0,44,16,0,,0,0,,,,
"Leather — Wrought, Boots And Shoes",KEEP,3594046,0,26,12,0,,0,0,,,,
Calves,KEEP,3579638,1,88,12,0,,2,1,Paper — Of Other Materials,,,
"Hair — Cow, Ox, Bull, Or Elk",KEEP,3577481,1,275,28,4,"Glass, Of All Kinds",6,3,"Glass, Of All Kinds",,,
"Cotton Manufactures — Piece Goods Of Mixed Materials, Cotton Predominating",KEEP,3571372,0,145,37,0,,0,0,,,,
Zinc — Ore Of,KEEP,3546895,1,218,25,0,,0,0,,,,
Gold — Leaves Of,KEEP,3538418,1,101,9,2,Metals And Ores — Leaves Of,2,2,Metals And Ores — Leaves Of,,,
Rabbits,KEEP,3508692,1,43,13,14,Rabbits (Dead),16,14,Rabbits (Dead),,,
Horns And Hoofs,KEEP,3468465,1,183,38,2,"Animals, Living — Bulls, Oxen, Cows, And Calves",3,1,Wood And Timber — Sawn Or Split,,,
Bottles,KEEP,3436915,1,57,11,0,,4,2,"Mutton, Fresh",,,
Rabbits (Dead),KEEP,3335014,1,32,11,19,Rabbits,44,19,Rabbits,,,
Isinglass,KEEP,3321943,1,209,30,13,"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel, Unenumerated",19,10,"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel, Unenumerated",,,
Pictures,KEEP,3226178,1,102,17,0,,3,1,"Dye Stuffs, And Substances Used In Tanning — Dyes Obtained From Coal Tar : Other Coal Tar Dyes",,,
China And Porcelain Ware,KEEP,3160025,1,74,11,1,Safflower,4,1,"Manganese, Ore Of",,,
"Sago, And Flour Or Meal Thereof",KEEP,3111542,1,29,12,3,Sago,7,3,Asphalt Or Bitumen,,,
"Metal — Unenumerated, Unwrought",KEEP,3105942,1,113,35,3,Lead — Ore Of,12,4,Metal,,,
"Woollen And Worsted Manufactures — Yarn, Alpaca, Mohair, And Other Sorts Unenumerated",KEEP,3001093,0,19,9,0,,0,0,,,,
Waste Of,KEEP,2978623,1,234,26,8,Yarn,9,8,Yarn,,,
Tar,KEEP,2917953,1,129,16,3,Tan,7,4,"Sugar — Unrefined, Total",,,
Linen And Jute Manufactures — Jute-Manufactures,KEEP,2888340,0,46,33,0,,0,0,,,,
"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",KEEP,2854074,1,116,35,16,Wood And Timber — Unenumerated,23,16,Wood And Timber — Unenumerated,,,
"Wine — In Bottles, Still",KEEP,2834838,0,78,13,0,,0,0,,,,
"Skins, Furs, And Pelts — Sheep And Lamb, Tanned, Tawed, Or Dressed",KEEP,2832793,0,58,12,0,,0,0,,,,
"Stationery, Other Than Paper",KEEP,2827999,0,141,11,6,"Stationery, Other Than Paper, Including Ink",8,5,"Stationery, Other Than Paper, Including Ink",,,
"Silk Manufactures — Broad Stuffs : Silk Or Satin : Ribbons, Silk Or Satin",KEEP,2785957,0,4,5,0,,0,0,,,,
Cement,KEEP,2777049,0,107,47,0,,1,1,Cement — To United States Of America,,,
Silk Manufactures — Linenumerated,KEEP,2739301,0,13,16,0,,0,0,,,,
"Lace, And Articles Thereof — Of Silk",KEEP,2735988,0,16,3,0,,0,0,,,,
Tea — Red: Total Of,KEEP,2723762,0,20,20,0,,40,40,"Tobacco — White, In Bottles, Still : Champagne",,,
"Skins And Furs — Sheep And Lambs', Undressed, Without The Wool",KEEP,2717794,0,23,6,0,,0,0,,,,
Oil — Spermaceti Or Head Matter,KEEP,2691561,0,43,14,7,"Oil — Fish : Spermaceti, Or Head Mutton",7,7,"Oil — Fish : Spermaceti, Or Head Mutton",,,
Galls,KEEP,2674151,1,189,20,5,"Preserved Without Sugar, Other Than Dried",6,4,"Preserved Without Sugar, Other Than Dried",,,
"Cotton Manufactures — Dye Stuffs, Unenumerated",KEEP,2667318,0,67,19,0,,0,0,,,,
"Paper-Making Materials — Pulp Of Wood, Chemical",KEEP,2661603,1,21,12,0,,10,10,Paper — Millboard And Pasteboard,,,
"Platina, Wrought Or Unwrought",KEEP,2647980,1,116,14,0,,3,1,Lead — Manufactures,,,
Tares And Lentils,KEEP,2629994,1,198,32,8,Saltpetre (Nitrate Of Potash) — Rape,8,7,Saltpetre (Nitrate Of Potash) — Rape,,,
Whalebone (Whalefins) — Whale Fisheries,KEEP,2608319,0,18,18,0,,22,22,Whalebone (Whalefins),,,
Alkali,KEEP,2579263,1,172,18,1,Caoutchouc,2,1,Alkali — British North America,,,
Cherries — Raw,KEEP,2560640,1,33,7,0,,0,0,,,,
Glass — Flint Glass,KEEP,2541114,0,48,7,0,,0,0,,,,
Part Wrought,KEEP,2529586,1,83,20,14,"Copper, Ore Of — Manufactures Of, Not Otherwise Enumerated Or Described, Including Copper Plates Engraved",18,14,"Copper, Ore Of — Manufactures Of, Not Otherwise Enumerated Or Described, Including Copper Plates Engraved",,,
Woollen,KEEP,2515305,1,8,4,0,,0,0,,,,
Manufactures — Of Countries Out Of Europe,KEEP,2509051,1,38,6,0,,0,0,,,,
"Metal — Unenumerated, Wrought Or Manufactured",KEEP,2504163,0,64,13,0,,2,2,"Animals, Living — Sheep And Lambs",,,
"Animals, Living — Swine",KEEP,2478736,1,95,13,0,,2,1,"Animals, Living — British North America",,,
Of Felt,KEEP,2443094,1,119,17,0,,0,0,,,,
Perfumed,KEEP,2438260,1,121,9,2,"Spirits — Not Tested, For Ascertaining The Strength",13,4,"Fruit — Unenumerated, Sweetened, Or Mixed (Tested)",,,
"Woollen And Worsted Manufactures — Rugs, Coverlets, Or Wrappers",KEEP,2409597,0,138,28,0,,0,0,,,,
"Stationery Other Than Paper — Stones, Marble, Slate, And Other Sorts Of Stone, Rough, Hewn, Or Manufactured",KEEP,2395788,0,43,10,0,,0,0,,,,
"Jute Yarn — Manufactures, Piece Goods",KEEP,2372364,1,23,23,0,,0,0,,,,
"Dye Stuffs, Unenumerated",KEEP,2352214,0,59,18,0,,0,0,,,,
"Skins And Furs — Foreign, Dressed In The United Kingdom",KEEP,2344494,0,32,7,0,,0,0,,,,
"Vegetables, Unenumerated",KEEP,2332192,1,49,8,0,,0,0,,,,
"Pickles And Vegetables, Preserved In Salt Or Vinegar",KEEP,2329509,1,122,13,2,"Petroleum — Pickles And Vegetables, Preservedin Salt Or Vinegar",33,30,"Petroleum — Pickles And Vegetables, Preservedin Salt Or Vinegar",,,
Cotton Manufactures — To United States Of America,KEEP,2323800,0,40,15,0,,0,0,,,,
Horns And Hoofs Of Cattle,KEEP,2316666,1,74,14,1,"Horns, Tips, And Pieces Of Horn, And Hoofs",1,1,"Horns, Tips, And Pieces Of Horn, And Hoofs",,,
"Art, Works Of, Other Than Pictures",KEEP,2303275,0,162,21,2,"Skins, Furs, And Pelts — Specimens Illustrative Of Natural Science",3,1,"Skins, Furs, And Pelts — Specimens Illustrative Of Natural Science",,,
"Wool — Other Kinds, And Flocks",KEEP,2302563,1,172,18,0,,8,8,Wool — Sheep Or Lambs',,,
"Prints, Engravings And Photo- Graphs",KEEP,2297025,0,45,11,0,,0,0,,,,
Spices — Ginger,KEEP,2293290,1,113,22,19,Lates — Ginger,24,15,Lates — Ginger,,,
Tobacco — Red : Total Of,KEEP,2286259,0,20,20,0,,45,45,"Tobacco — White, In Bottles, Still : Champagne",,,
Pears — Raw,KEEP,2257186,1,63,9,0,,16,13,"Fruit — Nuts, Used As Fruit",,,
Feathers — For Beds,KEEP,2232052,1,138,16,15,Fathers — For Bens,18,10,Fathers — For Bens,,,
Liquorice,KEEP,2208322,1,141,14,1,Cheese,16,9,"Leather — Manufactures, Including Manufactures Of Linen Mixed With Cotton",,,
"Iron — Old, For Re-Manufacture",KEEP,2185126,0,44,16,0,,0,0,,,,
Myrabolams,KEEP,2160705,0,37,6,0,,0,0,,,,
Spices — Cinnamon,KEEP,2026282,1,80,25,11,Slates,15,8,Slates,,,
"Rags, And Other Materials For Making Paper — Other Materials, And Pulp Of Rags",KEEP,2007752,0,79,16,0,,3,1,Succades,,,
"Stones, Marble, Slate, And Other Sorts Of Stone, Rough, Hewn, Or Manufactured",KEEP,2004623,0,31,10,0,,0,0,,,,
"Paper — Brown And Waste, Or Any Other Sorts Un- Enumerated",KEEP,1985110,0,31,8,0,,0,0,,,,
"Skins, Furs, And Pelts — Unenumerated, Not Being Furs, Dressed And Undressed",KEEP,1959029,0,66,14,0,,0,0,,,,
"Hides — Tanned, Not Otherwise Dressed",KEEP,1930998,0,12,12,0,,0,0,,,,
"Skins, Furs, And Pelts — Unenumerated : Undressed",KEEP,1920991,1,173,33,9,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Unenumerated, Undressed",10,9,Shells Of All Kinds — Dressed,,,
Tin — Ore Of,KEEP,1915742,1,83,21,13,Ore Of,23,10,Ore Of,,,
Preserved Otherwise Than By Salting — Mutton,KEEP,1898185,1,91,14,7,"Meat, Unenumerated — Preserved : Mutton",8,5,"Meat, Unenumerated — Preserved : Mutton",,,
"Silk Manufactures — Manufactures Of Silk, Ex Of Silk Mixed With Other Materials, Unenumerated",KEEP,1877969,0,5,5,0,,0,0,,,,
"Woollen And Worsted Manufactures — Coatings, Duffels, &C. Of Wool Mixed With Other Materials",KEEP,1863437,0,10,10,0,,0,0,,,,
Cotton Manufactures — Thread For Sewing,KEEP,1863219,0,24,13,0,,0,0,,,,
Land,KEEP,1856222,0,3,3,0,,0,0,,,,
"Iron — Old Broken, And Old Cast Iron And Steel",KEEP,1836258,1,270,40,6,Iron — Ore Of,6,4,Iron — Ore Of,,,
Biscuit And Bread,KEEP,1820195,0,55,29,0,,2,2,"Zinc — Crude, In Cakes",,,
Corn And Grain — Oatmeal,KEEP,1796892,0,34,4,0,,35,32,Corn And Grain — From United States Of America,,,
"Quicksilver — Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",KEEP,1786051,0,27,27,0,,0,0,,,,
Candles Of All Sorts,KEEP,1775993,1,91,13,2,Glass — Unenumerated,3,1,Glass — Unenumerated,,,
Silk Manufactures — Broad Stuffs,KEEP,1753971,0,38,17,5,Silk Manufactures — To British India,5,5,Silk Manufactures — To British India,,,
"Flint — Manufactures, Unenumerated",KEEP,1744451,0,12,6,0,,0,0,,,,
"Hides — Not Tanned, &C., Wet",KEEP,1721942,0,60,9,0,,0,0,,,,
Oleo-Margarine,KEEP,1690396,1,50,12,8,Oil — Of Other Sorts,12,4,Oil — Of Other Sorts,,,
Beads Of All Sorts,KEEP,1688009,1,142,18,0,,1,1,Gum — From British India,,,
"Hemp — Tow, Or Codilla Of",KEEP,1685628,0,84,13,6,Tow,7,5,Tow,,,
Asphalt Or Bitumen,KEEP,1657209,1,143,17,3,"Animals, Living — Muskets, Rifles, Carbines, Fowling Pieces, Or Guns Of Any Other Sorts Not Enumerated, And Parts Thereof, And Pistols",8,6,"Animals, Living — Muskets, Rifles, Carbines, Fowling Pieces, Or Guns Of Any Other Sorts Not Enumerated, And Parts Thereof, And Pistols",,,
"Cotton — Piece Goods Of Other Countries, Other Than Muslins",KEEP,1569570,0,28,14,0,,0,0,,,,
"Animals, Living — British North America",KEEP,1567972,0,3,2,0,,100,33,Oxen And Bulls,,,
"Precious Stones, Unset — Prints, Engravings And Photo- Graphs",KEEP,1540174,0,27,8,0,,4,4,Paper — Unenumerated,,,
"Chicory, Raw Or Kiln-Dried",KEEP,1529117,1,60,10,8,"Cards, Playing — Chucory, Raw Or Kiln-Dried",10,5,"Cards, Playing — Chucory, Raw Or Kiln-Dried",,,
Linen And Jute Manufactures — Thread For Sewing,KEEP,1518918,0,53,15,0,,0,0,,,,
Woollen Yarn — From British North America,KEEP,1511924,0,5,5,0,,60,40,Woollen Yarn — For Weaving,,,
Ducts,KEEP,1502294,0,15,15,0,,0,0,,,,
Paper — Printed Or Coated,KEEP,1485868,1,40,8,10,Paper — Printed,10,10,Paper — Printed,,,
"Prints, Engravings, & Photographs",KEEP,1479184,0,34,13,0,,0,0,,,,
"Goods, Unenumerated : „ Unmanufactured",KEEP,1474947,0,30,30,0,,0,0,,,,
"Silk — Thrown, Twist Or Yarn",KEEP,1450651,0,52,13,0,,0,0,,,,
"Garden, Unenumerated",KEEP,1448115,1,190,20,0,,6,6,Saltpetre (Nitrate Of Potash) — Rape,,,
Madder — Garancine,KEEP,1448088,1,24,6,0,,0,0,,,,
"Unenumerated, For Expressing Oil Therefrom",KEEP,1419575,1,94,24,0,,43,23,Saltpetre (Nitrate Of Potash) — Rape,,,
"Flax, Dressed Or Undressed — Unenumerated, Raw",KEEP,1415252,0,9,9,0,,0,0,,,,
"Perfumery, And Articles Used In The Manufacture Thereof",KEEP,1414281,1,120,21,9,Paraffine — Manufacture Thereof,38,23,"Paraffine — Perfumery, And Articles Used Inthe Manufacture Thereof",,,
"Grease, Tallow And Animal Fat",KEEP,1406888,0,40,17,0,,0,0,,,,
"Wool — Other Sorts, Including Foreign, Dressed In The United Kingdom, And Flocks And Ragwool",KEEP,1372417,0,32,12,3,Wool — Other Goats' Wool Or Hair,3,3,Wool — Other Goats' Wool Or Hair,,,
"Skins, Furs, And Pelts — Pepper",KEEP,1364884,0,14,14,0,,0,0,,,,
"Arms, Ammunition, And Military Stores — Muskets, Rifles, And Guns Of Any Other Sort, And Pistols",KEEP,1352056,0,44,8,0,,2,2,"Paper-Making Materials — Esparto, And Other Vegetable Fibres",,,
Spirits — Geneva,KEEP,1349870,1,80,35,19,Spirits — Brandy,20,14,Spirits — Brandy,,,
"China, Or Porcelain, And Earthenware — Manufactured",KEEP,1330601,0,13,7,0,,0,0,,,,
"Sauces Or Condiments, Unenumerated",KEEP,1323398,1,251,27,4,"Pyrites Of Iron Or Copper — Sauces Or Condiments, Unenu- Merated",8,4,"Pyrites Of Iron Or Copper — Sauces Or Condiments, Unenu- Merated",,,
Cavendish Or Negrohead,KEEP,1314301,1,110,20,7,Tobacco — Cigars,7,5,Tobacco — Cigars,,,
"Hardwares And Cutlery, Un-Enumerated",KEEP,1314086,0,20,14,0,,0,0,,,,
Isinglass — Pillow Lace,KEEP,1310603,0,29,3,0,,0,0,,,,
"Arms And Ammunition — Rockets And Other Combustibles For Purposes Of War ; Explosives, Percussion Caps, And Ammunition Unenumerated",KEEP,1296915,0,79,17,0,,6,5,"Arms, And Ammunition — Rockets And Other Combustibles For Purposesof War, Explosives, Percussion Caps, Andammunition, Unenumerated",,,
"Pyrites Of Iron, Copper, Or Sulphur",KEEP,1295272,1,4,4,0,,0,0,,,,
Tobacco — Other Sorts,KEEP,1293379,1,143,25,8,Tobacco — Cigars,12,6,Tobacco — Cigars,,,
Gunpowder,KEEP,1279494,1,79,28,10,"Glass, Of All Kinds",10,10,"Glass, Of All Kinds",,,
Paper — Hangings,KEEP,1245404,1,95,17,3,Gutta Percha,6,1,Gutta Percha,,,
"Copper — Cordage, Cables (Not Of Iron). Twine And Cable Yarn",KEEP,1196774,0,17,14,0,,0,0,,,,
Woollen Manufactures — Unmanufactured,KEEP,1182543,0,30,30,0,,0,0,,,,
Woollen And Worsted Manufactures — Sorts Unenumerated,KEEP,1175947,0,7,7,0,,0,0,,,,
"Glass — Flint, Plain, Cut, Or Ornamented (Including Bottles And Phials Of Flint Glass)",KEEP,1164776,0,81,30,0,,0,0,,,,
Spices — Ginger (Raw),KEEP,1160577,1,60,11,0,,0,0,,,,
"Arms, Ammunition, And Military Stores — Fowling Pieces",KEEP,1154866,0,84,17,0,,0,0,,,,
Skins And Furs — Unenumerated,KEEP,1149207,1,30,6,0,,0,0,,,,
"Horns, Tips And Pieces Of Horns And Hoofs — Cycles And Parts Thereof",KEEP,1135534,0,12,6,0,,0,0,,,,
"Glass — Grease, Not Otherwise Described",KEEP,1123063,0,38,11,0,,0,0,,,,
Moss Litter,KEEP,1107028,1,38,5,3,"Metal — Unenumerated, Old, Fit Only To Be Re-Manufactured",3,3,"Metal — Unenumerated, Old, Fit Only To Be Re-Manufactured",,,
Cocoa Nut,KEEP,1104442,1,22,12,0,,0,0,,,,
"Arms, Ammunition, And Military Stores — Cannon And Mortars",KEEP,1071017,0,43,28,0,,0,0,,,,
Horse — Unenumerated,KEEP,1067738,0,32,10,0,,19,19,Hair — Unenumerated,,,
Buckwheat,KEEP,1050438,1,112,14,1,Corn And Grain — Pease,4,1,Tobacco — Unmanufactured,,,
Feathers — Cured Or Salted,KEEP,1048546,0,8,8,0,,0,0,,,,
"Skins, Furs, And Pelts — Articles Manufactured Of Skins And Furs",KEEP,1044191,0,25,6,0,,4,4,"Wood And Timber — Hewn, Unenumerated",,,
Lard — Imitation Lard (Including All Kinds Of Artificial Or Imitation Lard),KEEP,1043252,1,28,6,0,,4,4,"Wool — Alpaca, Vicuña, And Llama",,,
Bark — Extracts Of Bark Or Other Substances To Be Used In Tanning Or Dyeing,KEEP,1029813,0,30,8,0,,3,3,Hats Or Bonnets — Tow Or Codilla Of,,,
"Perfumery, And Articles Used In The Manufacture Thereof, Except Perfumed Spirits",KEEP,1024063,1,107,23,8,Paraffine — Perfumed Spirits,36,20,"Paraffine — Perfumery, And Articles Used Inthe Manufacture Thereof",,,
"Arms, Ammunition, And Military Stores",KEEP,1008130,0,58,27,0,,0,0,,,,
Madder,KEEP,992600,1,33,5,0,,0,0,,,,
"Spices — Dutch Possessions, India",KEEP,990413,0,33,21,9,Spices — From East Coast Of Africa,21,15,Slates,,,
Onions — Raw · Opium,KEEP,980918,0,8,5,0,,0,0,,,,
"Carriages, Carts, &C — Railway Waggons, Trucks, &C. (Not Of Iron)For Ballast, Minerals, Or Merchandize",KEEP,968670,0,43,22,0,,0,0,,,,
Beads — Of Glass,KEEP,966755,1,39,4,0,,0,0,,,,
Iron — Leather Manufacturers,KEEP,962654,0,6,6,0,,0,0,,,,
"Flowers, Artificial — Nuts, Other Sorts, Unenumerated",KEEP,957826,0,21,11,0,,0,0,,,,
"Plate, Fluted, Rolled Or Rough",KEEP,949630,1,32,6,3,Oil — Castor,9,3,Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,,,
Linen Yarn — Manufactures,KEEP,937341,0,25,10,0,,0,0,,,,
Hides — Raw,KEEP,917765,1,53,14,0,,2,2,Pictures,,,
"Petroleum, Lubricating",KEEP,916008,0,8,8,0,,0,0,,,,
"Precious Stones, Unset",KEEP,913442,0,147,21,0,,1,1,"Specimens, Illustrative Of Naturalscience",,,
Stones And Slates — Slate By Tale,KEEP,903752,0,12,5,0,,0,0,,,,
Arms And Ammunition — Cannon And Mortars,KEEP,901426,0,18,13,0,,6,6,Cotton,,,
"Meat, Unenumerated — Unenumerated, Unwrought",KEEP,888858,0,24,19,0,,0,0,,,,
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Extracts",KEEP,887307,0,24,13,0,,0,0,,,,
"Provisions, Unenumerated — Rags (Except Woollen) And Other Materials For Making Paper",KEEP,881899,0,11,8,0,,0,0,,,,
"Spirits, British And Irish",KEEP,880245,0,34,13,0,,0,0,,,,
Madder — Root,KEEP,879454,1,33,7,0,,0,0,,,,
"Cordage, Cables, And Ropes Of Hemp Or Like Material",KEEP,860563,0,57,26,0,,0,0,,,,
Pitch,KEEP,841204,1,156,17,3,Petroleum,4,1,Petroleum,,,
Cotton Manufactures — Other Than Muslims,KEEP,834458,0,5,5,0,,0,0,,,,
"Fruit — Dried, Not Otherwise Described",KEEP,828951,0,47,10,0,,0,0,,,,
Paper-Making Materials — Linen And Cotton Rags,KEEP,809585,1,37,11,0,,8,8,Paper — Millboard And Pasteboard,,,
Fish — Tow Or Codilla Of,KEEP,802378,0,10,7,0,,0,0,,,,
"Copper — Unwrought, In Ingots, Cakes, Or Slabs",KEEP,798911,0,8,8,0,,0,0,,,,
Coco Nut,KEEP,790841,1,5,5,0,,0,0,,,,
"Flax, Dressed Or Undressed — Apples, Raw",KEEP,783906,0,9,9,0,,0,0,,,,
Nuts And Kernels — Whale Fisheries,KEEP,782604,0,31,8,3,Oil — From British North America,29,29,Oil — Fish : Train Or Blubber,,,
"Plate — Of Silver, Gilt Or Ungilt",KEEP,781222,1,193,27,7,Plate Of Silver,8,4,Plate Of Silver,,,
Linen And Jute Manufactures — Sail Cloth And Sails,KEEP,765700,0,39,16,0,,0,0,,,,
Linen Manufactures — Thread For Sewing,KEEP,750112,0,19,10,0,,0,0,,,,
"Skins, Furs, And Pelts — Tanned, Tawed, Or Dressed",KEEP,739552,0,14,4,0,,0,0,,,,
Wood And Timber — Staves : Mahogany,KEEP,737550,0,9,9,0,,0,0,,,,
"Bags And Sacks, Empty",KEEP,731558,0,36,36,0,,0,0,,,,
Safflower,KEEP,731248,1,39,15,3,China And Porcelain Ware,5,3,China And Porcelain Ware,,,
Yarn And Waste Of,KEEP,725135,1,28,6,0,,0,0,,,,
"Metal — Old (Other Than Iron Or Copper), Fit Only For Re-Manufacture",KEEP,723376,0,45,16,0,,0,0,,,,
"Arms, Ammunition, And Military Stores — Bags And Sacks Empty",KEEP,716052,0,32,20,0,,0,0,,,,
"Silk Manufactures — Silver Ore, Or One Of Which The Greater Part In Value Is Silver",KEEP,715215,0,9,9,0,,0,0,,,,
"Copper — Manufactures Of, Unenumerated,   Including Copper Coin",KEEP,710288,1,53,13,0,,9,9,"Copper — Manufactures Of, Unenumerated, Including Copper Coin",,,
Cheese — Manufactured,KEEP,705211,0,7,7,0,,0,0,,,,
"Fish (Including Turtle) — Shell Fish, Oysterst",KEEP,704829,0,12,4,8,"Eggs — Shell Fish, Oysters, All Sorts",58,50,Shell Fish : Oysters,,,
"Methylic Alcohol, Not Purified So As To Be Potable",KEEP,699130,1,19,12,0,,16,11,"Milk, Condensed",,,
"Painters' Colours And Materials — Writing Or Printing, And Envelopes",KEEP,695162,0,10,10,0,,0,0,,,,
Machinery And Mill Work — Not Being Steam Engines: Sewing Machines,KEEP,694074,0,23,12,0,,4,4,"Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)",,,
Fruit — Snuff : Cigars,KEEP,693235,0,11,11,0,,0,0,,,,
"Copper, Ore Of — Cordage, Cables (Not Of Iron), Twine, And Cable Yarn",KEEP,686603,0,13,13,0,,0,0,,,,
"Pork, Salted And Fresh",KEEP,684788,1,5,5,0,,0,0,,,,
"Bark — Extracts Of Bark, Or Of Other Substances To Be Used In Tanning Or Dyeing, Unenumerated",KEEP,682299,0,6,6,0,,83,83,"Bark — Extracts Of Bark, Or Of Other Substances To Be Usedin Tanning Or Dyeing, Unenumerated",,,
"Butter — Buttons And Srungs, Not Of Metal",KEEP,665415,0,4,4,0,,0,0,,,,
"Fish — Flax, Dressed",KEEP,659704,0,6,6,0,,0,0,,,,
